,Wild0reoo TS,ZesBeeW TS,invy TS,kellyS TS,n1zzy TS
Karon GEN,3 2 +1,3 0 +3,2 2 +0,2 1 +1,8 2 +6
t3xture GEN,3 4 -1,3 1 +2,2 3 -1,3 1 +2,3 2 +1
Ash GEN,3 1 +2,5 0 +5,4 1 +3,4 2 +2,1 4 -3
Foxy9 GEN,3 0 +3,2 0 +2,4 1 +3,2 3 -1,1 2 -1
Munchkin GEN,1 1 +0,1 3 -2,0 3 -3,4 1 +3,1 2 -1
