,kamo TL,keiko TL,trexx TL,paTiTek TL,nAts TL
LewN BBL,0 1 -1,1 2 -1,,0 1 -1,1 1 +0
Jamppi BBL,1 1 +0,,,0 1 -1,
PROFEK BBL,0 1 -1,,,,1 1 +0
sociablEE BBL,1 0 +1,3 0 +3,,,
MAGNUM BBL,0 1 -1,0 2 -2,1 0 +1,2 0 +2,
