,kamo TL,keiko TL,trexx TL,paTiTek TL,nAts TL
LewN BBL,1 0 +1,,,1 0 +1,
Jamppi BBL,,,,,
PROFEK BBL,,,,,
sociablEE BBL,1 1 +0,,2 0 +2,2 0 +2,
MAGNUM BBL,,,,,0 1 -1
