,kamo TL,keiko TL,trexx TL,paTiTek TL,nAts TL
LewN BBL,6 5 +1,7 5 +2,3 5 -2,2 4 -2,4 3 +1
Jamppi BBL,4 0 +4,1 2 -1,4 3 +1,3 4 -1,3 9 -6
PROFEK BBL,4 2 +2,5 4 +1,6 2 +4,5 4 +1,4 5 -1
sociablEE BBL,6 4 +2,2 2 +0,2 6 -4,3 5 -2,4 4 +0
MAGNUM BBL,3 0 +3,3 3 +0,4 5 -1,4 2 +2,3 9 -6
