,kamo TL,keiko TL,trexx TL,paTiTek TL,nAts TL
LewN BBL,8 4 +4,5 1 +4,1 4 -3,4 3 +1,2 7 -5
Jamppi BBL,3 1 +2,1 1 +0,4 4 +0,3 4 -1,3 6 -3
PROFEK BBL,3 2 +1,5 3 +2,4 3 +1,3 4 -1,3 4 -1
sociablEE BBL,1 5 -4,0 2 -2,1 3 -2,3 6 -3,2 3 -1
MAGNUM BBL,3 4 -1,2 5 -3,2 3 -1,3 4 -1,3 3 +0
