,kamo TL,keiko TL,trexx TL,paTiTek TL,nAts TL
LewN BBL,2 4 -2,2 3 -1,1 4 -3,1 3 -2,3 3 +0
Jamppi BBL,2 4 -2,2 5 -3,1 3 -2,2 2 +0,6 3 +3
PROFEK BBL,2 5 -3,1 3 -2,5 2 +3,3 3 +0,4 4 +0
sociablEE BBL,9 1 +8,10 3 +7,8 1 +7,5 5 +0,4 5 -1
MAGNUM BBL,1 3 -2,2 10 -8,3 3 +0,7 0 +7,1 2 -1
