,kamo TL,keiko TL,trexx TL,paTiTek TL,nAts TL
LewN BBL,2 1 +1,0 1 -1,,2 0 +2,1 2 -1
Jamppi BBL,1 0 +1,,1 0 +1,0 2 -2,
PROFEK BBL,1 2 -1,1 0 +1,,,0 1 -1
sociablEE BBL,,,,,1 0 +1
MAGNUM BBL,,0 2 -2,,0 2 -2,
