,kamo TL,keiko TL,trexx TL,paTiTek TL,nAts TL
LewN BBL,16 13 +3,14 9 +5,5 13 -8,7 10 -3,9 13 -4
Jamppi BBL,9 5 +4,4 8 -4,9 10 -1,8 10 -2,12 18 -6
PROFEK BBL,9 9 +0,11 10 +1,15 7 +8,11 11 +0,11 13 -2
sociablEE BBL,16 10 +6,12 7 +5,11 10 +1,11 16 -5,10 12 -2
MAGNUM BBL,7 7 +0,7 18 -11,9 11 -2,14 6 +8,7 14 -7
