,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
FiNESSE NRG,,3 Round 10 Xeppaa v1c Round 17 OXY neT Round 21 Xeppaa OXY,1 Round 1 OXY Xeppaa v1c,,,,,,,,50,1,0
s0m NRG,,2 Round 6 OXY mitch Round 8 neT OXY,2 Round 14 OXY v1c Xeppaa Round 18 OXY Xeppaa v1c,,,,,,,,46,2,0
mada NRG,,2 Round 6 v1c neT Round 13 OXY mitch,,1 Round 9 OXY mitch v1c Xeppaa,,,,,,,41,0,1
Ethan NRG,,3 Round 7 mitch Xeppaa Ethan Round 12 v1c Xeppaa Round 15 OXY v1c,1 Round 22 v1c OXY neT,1 Round 11 neT OXY v1c mitch,,,,1 Round 11 v1c OXY mitch,,,70,7,1
Verno NRG,,3 Round 3 v1c neT Round 4 mitch v1c Round 12 neT OXY,1 Round 23 v1c Xeppaa OXY,,,1 Round 13 Xeppaa,,,,,59,0,1
mitch C9,,2 Round 1 FiNESSE mada Round 18 Ethan FiNESSE,2 Round 10 mada Verno Ethan Round 23 Verno Ethan FiNESSE,,,,1 Round 23 FiNESSE s0m,,,,59,4,3
neT C9,,5 Round 5 Ethan mada Round 11 Verno s0m Round 15 Verno FiNESSE Round 19 Ethan Verno Round 23 mada s0m,,,,1 Round 18 s0m,,,,,54,3,2
Xeppaa C9,,3 Round 5 s0m Verno Round 17 mada Verno Round 20 Verno FiNESSE Xeppaa,1 Round 1 Verno s0m Ethan,1 Round 2 s0m Ethan FiNESSE Verno,1 Round 6 FiNESSE Ethan s0m Verno mada,1 Round 6 mada,1 Round 20 FiNESSE Verno,,,,61,2,0
v1c C9,,2 Round 20 mada s0m Round 21 s0m FiNESSE,,,,,,,,,38,1,0
OXY C9,,2 Round 13 s0m FiNESSE Round 21 Ethan mada,1 Round 4 Ethan mada Verno,,,,,,,,40,0,0
