,Xeppaa C9,OXY C9,neT C9,mitch C9,v1c C9
FiNESSE NRG,0 1 -1,0 1 -1,,0 1 -1,
s0m NRG,1 1 +0,2 0 +2,,3 1 +2,
mada NRG,2 1 +1,1 1 +0,1 0 +1,1 2 -1,1 2 -1
Verno NRG,1 1 +0,,,,
Ethan NRG,,,,,
