,Xeppaa C9,OXY C9,neT C9,mitch C9,v1c C9
FiNESSE NRG,,,,,
s0m NRG,0 1 -1,2 1 +1,,1 0 +1,
mada NRG,1 2 -1,2 1 +1,1 2 -1,,0 1 -1
Verno NRG,0 1 -1,1 0 +1,2 0 +2,,1 0 +1
Ethan NRG,,1 1 +0,0 1 -1,,
