,Xeppaa C9,OXY C9,neT C9,mitch C9,v1c C9
FiNESSE NRG,0 1 -1,0 1 -1,,0 1 -1,
s0m NRG,1 2 -1,4 1 +3,,4 1 +3,
mada NRG,3 3 +0,3 2 +1,2 2 +0,1 2 -1,1 3 -2
Verno NRG,1 2 -1,1 0 +1,2 0 +2,,1 0 +1
Ethan NRG,,1 1 +0,0 1 -1,,
