,MOLSI APK,batujnax APK,AvovA APK,OLIZERA APK,penny APK
nataNk MKOI,0 1 -1,1 0 +1,,0 1 -1,1 2 -1
MONSTEERR MKOI,0 1 -1,0 1 -1,,1 0 +1,0 1 -1
Filu MKOI,,1 0 +1,,2 1 +1,
flyuh MKOI,1 0 +1,1 0 +1,,1 1 +0,0 1 -1
baddyG MKOI,,0 1 -1,,0 1 -1,
