,PatMen PRX,Jinggg PRX,something PRX,d4v41 PRX,f0rsakeN PRX
N4RRATE SEN,6 6 +0,5 6 -1,6 10 -4,8 7 +1,4 3 +1
zekken SEN,4 9 -5,8 7 +1,5 6 -1,6 4 +2,9 5 +4
johnqt SEN,4 6 -2,6 8 -2,4 4 +0,0 9 -9,4 3 +1
Zellsis SEN,2 5 -3,3 12 -9,4 4 +0,3 6 -3,4 5 -1
bang SEN,8 3 +5,5 6 -1,6 9 -3,6 6 +0,4 6 -2
