,PatMen PRX,Jinggg PRX,something PRX,d4v41 PRX,f0rsakeN PRX
N4RRATE SEN,5 1 +4,4 3 +1,2 7 -5,3 5 -2,2 1 +1
zekken SEN,2 3 -1,4 4 +0,4 3 +1,5 2 +3,6 4 +2
johnqt SEN,4 5 -1,4 4 +0,2 1 +1,0 4 -4,4 1 +3
Zellsis SEN,2 4 -2,2 8 -6,2 1 +1,2 4 -2,3 1 +2
bang SEN,4 2 +2,4 4 +0,3 4 -1,3 3 +0,2 4 -2
