,PatMen PRX,Jinggg PRX,something PRX,d4v41 PRX,f0rsakeN PRX
N4RRATE SEN,1 5 -4,1 3 -2,4 3 +1,5 2 +3,2 2 +0
zekken SEN,2 6 -4,4 3 +1,1 3 -2,1 2 -1,3 1 +2
johnqt SEN,0 1 -1,2 4 -2,2 3 -1,0 5 -5,0 2 -2
Zellsis SEN,0 1 -1,1 4 -3,2 3 -1,1 2 -1,1 4 -3
bang SEN,4 1 +3,1 2 -1,3 5 -2,3 3 +0,2 2 +0
