,s0m NRG,skuba NRG,brawk NRG,Ethan NRG,mada NRG
jawgemo G2,13 9 +4,4 16 -12,9 5 +4,7 11 -4,14 6 +8
trent G2,9 5 +4,10 7 +3,10 12 -2,7 12 -5,13 7 +6
valyn G2,9 11 -2,9 6 +3,4 9 -5,8 9 -1,15 8 +7
JonahP G2,11 9 +2,6 13 -7,16 5 +11,7 7 +0,7 12 -5
leaf G2,8 10 -2,11 7 +4,6 14 -8,18 4 +14,5 11 -6
