,s0m NRG,skuba NRG,brawk NRG,Ethan NRG,mada NRG
jawgemo G2,5 3 +2,1 5 -4,4 1 +3,3 3 +0,4 2 +2
trent G2,1 1 +0,4 4 +0,3 2 +1,1 4 -3,6 2 +4
valyn G2,4 5 -1,3 1 +2,1 2 -1,4 3 +1,6 3 +3
JonahP G2,3 2 +1,2 6 -4,6 1 +5,3 2 +1,2 3 -1
leaf G2,2 5 -3,3 1 +2,2 2 +0,5 1 +4,1 3 -2
