,s0m NRG,skuba NRG,brawk NRG,Ethan NRG,mada NRG
jawgemo G2,,0 2 -2,2 2 +0,,6 3 +3
trent G2,,1 0 +1,0 2 -2,1 1 +0,3 3 +0
valyn G2,1 1 +0,,,,4 0 +4
JonahP G2,1 0 +1,2 2 +0,1 0 +1,1 1 +0,4 4 +0
leaf G2,2 1 +1,4 1 +3,1 1 +0,2 0 +2,3 5 -2
