,s0m NRG,skuba NRG,brawk NRG,Ethan NRG,mada NRG
jawgemo G2,4 2 +2,1 5 -4,2 3 -1,0 4 -4,5 3 +2
trent G2,3 3 +0,4 1 +3,4 4 +0,2 3 -1,5 2 +3
valyn G2,3 3 +0,3 2 +1,1 2 -1,3 3 +0,2 4 -2
JonahP G2,5 2 +3,3 4 -1,3 3 +0,2 2 +0,2 5 -3
leaf G2,2 2 +0,3 2 +1,3 8 -5,9 0 +9,3 3 +0
