,s0m NRG,skuba NRG,brawk NRG,Ethan NRG,mada NRG
jawgemo G2,,0 1 -1,1 0 +1,,2 1 +1
trent G2,,1 0 +1,0 1 -1,,1 1 +0
valyn G2,,,,,1 0 +1
JonahP G2,,1 1 +0,1 0 +1,,1 1 +0
leaf G2,0 1 -1,1 0 +1,,1 0 +1,1 2 -1
