,s0m NRG,skuba NRG,brawk NRG,Ethan NRG,mada NRG
jawgemo G2,4 4 +0,2 6 -4,3 1 +2,4 4 +0,5 1 +4
trent G2,5 1 +4,2 2 +0,3 6 -3,4 5 -1,2 3 -1
valyn G2,2 3 -1,3 3 +0,2 5 -3,1 3 -2,7 1 +6
JonahP G2,3 5 -2,1 3 -2,7 1 +6,2 3 -1,3 4 -1
leaf G2,4 3 +1,5 4 +1,1 4 -3,4 3 +1,1 5 -4
