,Jemkin RRQ,crazyguy RRQ,Kushy RRQ,Monyet RRQ,xffero RRQ
Ash GEN,7 8 -1,3 3 +0,4 2 +2,3 4 -1,7 2 +5
Munchkin GEN,5 8 -3,2 3 -1,8 4 +4,7 8 -1,6 3 +3
Karon GEN,6 8 -2,6 4 +2,7 4 +3,4 1 +3,3 6 -3
t3xture GEN,8 6 +2,11 7 +4,6 4 +2,9 2 +7,9 3 +6
Foxy9 GEN,5 6 -1,6 3 +3,6 5 +1,9 2 +7,3 4 -1
