,Jemkin RRQ,crazyguy RRQ,Kushy RRQ,Monyet RRQ,xffero RRQ
Ash GEN,1 0 +1,,,,
Munchkin GEN,0 1 -1,1 1 +0,,1 1 +0,1 0 +1
Karon GEN,0 1 -1,,,,
t3xture GEN,2 0 +2,0 1 -1,1 0 +1,1 2 -1,0 1 -1
Foxy9 GEN,0 2 -2,1 1 +0,,,1 0 +1
