,Jemkin RRQ,crazyguy RRQ,Kushy RRQ,Monyet RRQ,xffero RRQ
Ash GEN,,,,,1 0 +1
Munchkin GEN,1 2 -1,0 0,1 0 +1,,
Karon GEN,1 0 +1,0 1 -1,,,
t3xture GEN,2 3 -1,1 2 -1,0 1 -1,,1 0 +1
Foxy9 GEN,1 0 +1,,,,
