,Jemkin RRQ,crazyguy RRQ,Kushy RRQ,Monyet RRQ,xffero RRQ
Ash GEN,0 3 -3,1 2 -1,2 1 +1,3 3 +0,3 0 +3
Munchkin GEN,4 3 +1,0 0,6 1 +5,2 5 -3,2 1 +1
Karon GEN,4 3 +1,4 2 +2,3 2 +1,2 1 +1,3 0 +3
t3xture GEN,4 3 +1,6 4 +2,1 3 -2,4 0 +4,6 0 +6
Foxy9 GEN,2 2 +0,4 0 +4,2 2 +0,2 0 +2,0 4 -4
