,Jemkin RRQ,crazyguy RRQ,Kushy RRQ,Monyet RRQ,xffero RRQ
Ash GEN,7 5 +2,2 1 +1,2 1 +1,0 1 -1,4 2 +2
Munchkin GEN,1 5 -4,2 3 -1,2 3 -1,5 3 +2,4 2 +2
Karon GEN,2 5 -3,2 2 +0,4 2 +2,2 0 +2,0 6 -6
t3xture GEN,4 3 +1,5 3 +2,5 1 +4,5 2 +3,3 3 +0
Foxy9 GEN,3 4 -1,2 3 -1,4 3 +1,7 2 +5,3 0 +3
