,aspas MIBR,artzin MIBR,cortezia MIBR,xenom MIBR,nzr MIBR
NaturE EG,,,,,
Derrek EG,,,,0 2 -2,
icy EG,0 3 -3,1 0 +1,,,1 0 +1
yay EG,,,,,
supamen EG,0 1 -1,,,,
