,aspas MIBR,artzin MIBR,cortezia MIBR,xenom MIBR,nzr MIBR
NaturE EG,,0 3 -3,,0 1 -1,0 1 -1
Derrek EG,,,1 0 +1,,
icy EG,0 4 -4,3 1 +2,2 3 -1,0 1 -1,1 0 +1
yay EG,1 4 -3,1 0 +1,0 3 -3,2 0 +2,
supamen EG,2 2 +0,1 0 +1,,,0 2 -2
