,aspas MIBR,artzin MIBR,cortezia MIBR,xenom MIBR,nzr MIBR
NaturE EG,,,,,
Derrek EG,0 1 -1,,,0 2 -2,
icy EG,0 3 -3,1 0 +1,,,1 0 +1
yay EG,0 2 -2,,,,
supamen EG,0 2 -2,,,,
