,aspas MIBR,artzin MIBR,cortezia MIBR,xenom MIBR,nzr MIBR
NaturE EG,,0 1 -1,,0 1 -1,
Derrek EG,,,,,
icy EG,,1 1 +0,2 1 +1,,
yay EG,0 2 -2,1 0 +1,0 2 -2,1 0 +1,
supamen EG,,1 0 +1,,,0 2 -2
