,aspas MIBR,artzin MIBR,cortezia MIBR,xenom MIBR,nzr MIBR
NaturE EG,3 1 +2,1 5 -4,1 3 -2,1 2 -1,0 3 -3
Derrek EG,1 2 -1,1 4 -3,1 4 -3,1 3 -2,3 2 +1
icy EG,1 3 -2,2 6 -4,5 3 +2,1 0 +1,2 3 -1
yay EG,0 4 -4,4 3 +1,2 3 -1,3 2 +1,1 3 -2
supamen EG,3 3 +0,2 2 +0,3 3 +0,0 3 -3,1 4 -3
