,aspas MIBR,artzin MIBR,cortezia MIBR,xenom MIBR,nzr MIBR
NaturE EG,2 0 +2,1 4 -3,0 5 -5,4 5 -1,2 3 -1
Derrek EG,1 3 -2,4 3 +1,6 3 +3,2 5 -3,2 4 -2
icy EG,2 8 -6,4 1 +3,1 4 -3,1 3 -2,4 3 +1
yay EG,3 8 -5,2 5 -3,0 3 -3,4 2 +2,3 0 +3
supamen EG,5 6 -1,5 3 +2,6 4 +2,6 2 +4,3 1 +2
