,aspas MIBR,artzin MIBR,cortezia MIBR,xenom MIBR,nzr MIBR
NaturE EG,5 1 +4,2 9 -7,1 8 -7,5 7 -2,2 6 -4
Derrek EG,2 5 -3,5 7 -2,7 7 +0,3 8 -5,5 6 -1
icy EG,3 11 -8,6 7 -1,6 7 -1,2 3 -1,6 6 +0
yay EG,3 12 -9,6 8 -2,2 6 -4,7 4 +3,4 3 +1
supamen EG,8 9 -1,7 5 +2,9 7 +2,6 5 +1,4 5 -1
