,aspas MIBR,artzin MIBR,cortezia MIBR,xenom MIBR,nzr MIBR
NaturE EG,,0 2 -2,,,0 1 -1
Derrek EG,,,1 0 +1,,
icy EG,0 4 -4,2 0 +2,0 2 -2,0 1 -1,1 0 +1
yay EG,1 2 -1,,0 1 -1,1 0 +1,
supamen EG,2 2 +0,,,,
