,aspas MIBR,artzin MIBR,cortezia MIBR,xenom MIBR,nzr MIBR
NaturE EG,,,,,
Derrek EG,0 1 -1,,,,
icy EG,,,,,
yay EG,0 2 -2,,,,
supamen EG,0 1 -1,,,,
