,Shao NAVI,Ruxic NAVI,ANGE1 NAVI,hiro NAVI,alexiiik NAVI
westside GX,1 0 +1,,,,1 0 +1
ara GX,0 1 -1,3 0 +3,2 0 +2,,
grubinho GX,2 0 +2,,,1 0 +1,1 0 +1
Cloud GX,,0 1 -1,1 0 +1,0 1 -1,
Flickless GX,1 1 +0,,,,
