,Shao NAVI,Ruxic NAVI,ANGE1 NAVI,hiro NAVI,alexiiik NAVI
westside GX,1 0 +1,1 0 +1,,,2 0 +2
ara GX,0 1 -1,1 0 +1,,0 1 -1,2 0 +2
grubinho GX,0 1 -1,0 2 -2,1 1 +0,1 2 -1,0 0
Cloud GX,,,0 1 -1,0 1 -1,
Flickless GX,,,,,
