,Shao NAVI,Ruxic NAVI,ANGE1 NAVI,hiro NAVI,alexiiik NAVI
westside GX,2 0 +2,1 1 +0,,,3 0 +3
ara GX,1 3 -2,4 0 +4,2 0 +2,0 1 -1,3 0 +3
grubinho GX,2 2 +0,0 2 -2,1 2 -1,2 3 -1,1 0 +1
Cloud GX,,0 1 -1,2 1 +1,0 3 -3,6 0 +6
Flickless GX,1 2 -1,,,0 1 -1,2 0 +2
