,Shao NAVI,Ruxic NAVI,ANGE1 NAVI,hiro NAVI,alexiiik NAVI
westside GX,,0 1 -1,,,
ara GX,1 1 +0,,,,1 0 +1
grubinho GX,0 1 -1,,0 1 -1,0 1 -1,
Cloud GX,,,1 0 +1,0 1 -1,6 0 +6
Flickless GX,0 1 -1,,,0 1 -1,2 0 +2
