,cauanzin LOUD,Virtyy LOUD,pANcada LOUD,RobbieBk LOUD,lukxo LOUD
cortezia MIBR,,0 1 -1,,1 0 +1,0 2 -2
aspas MIBR,1 0 +1,2 0 +2,1 0 +1,,3 0 +3
Verno MIBR,1 0 +1,,0 1 -1,,0 1 -1
xenom MIBR,1 0 +1,2 0 +2,,1 0 +1,1 0 +1
artzin MIBR,0 1 -1,0 3 -3,,,0 1 -1
