,cauanzin LOUD,Virtyy LOUD,pANcada LOUD,RobbieBk LOUD,lukxo LOUD
cortezia MIBR,,0 2 -2,,,
aspas MIBR,,2 0 +2,1 0 +1,,1 0 +1
Verno MIBR,,0 1 -1,,,
xenom MIBR,,,,,
artzin MIBR,,,,,
