,cauanzin LOUD,Virtyy LOUD,pANcada LOUD,RobbieBk LOUD,lukxo LOUD
cortezia MIBR,0 1 -1,,,,
aspas MIBR,,2 1 +1,2 0 +2,1 3 -2,
Verno MIBR,,0 1 -1,,1 0 +1,2 0 +2
xenom MIBR,,1 0 +1,,1 0 +1,1 0 +1
artzin MIBR,0 1 -1,2 0 +2,,0 1 -1,0 2 -2
