,Kushy RRQ,xffero RRQ,Monyet RRQ,Jemkin RRQ,crazyguy RRQ
JitBoyS TLN,2 4 -2,2 1 +1,1 2 -1,4 7 -3,5 4 +1
thyy TLN,0 3 -3,2 4 -2,4 1 +3,1 3 -2,1 4 -3
Killua TLN,6 0 +6,1 2 -1,2 3 -1,4 3 +1,5 3 +2
primmie TLN,3 2 +1,3 4 -1,5 4 +1,3 2 +1,2 4 -2
Crws TLN,3 6 -3,3 4 -1,1 1 +0,2 3 -1,2 2 +0
