,Kushy RRQ,xffero RRQ,Monyet RRQ,Jemkin RRQ,crazyguy RRQ
JitBoyS TLN,,,,0 1 -1,
thyy TLN,,,,0 1 -1,
Killua TLN,,,,0 1 -1,
primmie TLN,,1 0 +1,,,
Crws TLN,,,,,
