,Kushy RRQ,xffero RRQ,Monyet RRQ,Jemkin RRQ,crazyguy RRQ
JitBoyS TLN,5 6 -1,5 2 +3,4 4 +0,6 11 -5,7 9 -2
thyy TLN,3 7 -4,4 9 -5,6 3 +3,2 6 -4,4 5 -1
Killua TLN,8 4 +4,3 5 -2,3 8 -5,5 6 -1,8 3 +5
primmie TLN,5 5 +0,5 5 +0,6 7 -1,6 6 +0,3 8 -5
Crws TLN,3 9 -6,4 4 +0,5 2 +3,5 11 -6,6 4 +2
