,Kushy RRQ,xffero RRQ,Monyet RRQ,Jemkin RRQ,crazyguy RRQ
JitBoyS TLN,3 2 +1,3 1 +2,3 2 +1,2 4 -2,2 5 -3
thyy TLN,3 4 -1,2 5 -3,2 2 +0,1 3 -2,3 1 +2
Killua TLN,2 4 -2,2 3 -1,1 5 -4,1 3 -2,3 0 +3
primmie TLN,2 3 -1,2 1 +1,1 3 -2,3 4 -1,1 4 -3
Crws TLN,0 3 -3,1 0 +1,4 1 +3,3 8 -5,4 2 +2
