,Mazino KRÜ,Melser KRÜ,keznit KRÜ,Shyy KRÜ,adverso KRÜ
bang SEN,1 0 +1,0 2 -2,1 1 +0,,
N4RRATE SEN,,,,,
johnqt SEN,,,,,
zekken SEN,0 1 -1,2 1 +1,1 3 -2,1 0 +1,1 1 +0
Zellsis SEN,,0 1 -1,1 1 +0,0 1 -1,
