,Mazino KRÜ,Melser KRÜ,keznit KRÜ,Shyy KRÜ,adverso KRÜ
bang SEN,,,0 1 -1,,
N4RRATE SEN,,,,,
johnqt SEN,,,0 1 -1,,
zekken SEN,,,1 1 +0,,
Zellsis SEN,,,0 2 -2,,0 0
