,Mazino KRÜ,Melser KRÜ,keznit KRÜ,Shyy KRÜ,adverso KRÜ
bang SEN,6 9 -3,4 5 -1,6 7 -1,5 5 +0,7 4 +3
N4RRATE SEN,2 10 -8,5 5 +0,5 7 -2,2 4 -2,6 4 +2
johnqt SEN,9 5 +4,2 3 -1,7 6 +1,2 9 -7,7 3 +4
zekken SEN,5 9 -4,14 4 +10,7 12 -5,6 3 +3,5 2 +3
Zellsis SEN,4 7 -3,4 5 -1,2 10 -8,3 7 -4,3 1 +2
