,Mazino KRÜ,Melser KRÜ,keznit KRÜ,Shyy KRÜ,adverso KRÜ
bang SEN,,,1 2 -1,,
N4RRATE SEN,,1 0 +1,,,0 1 -1
johnqt SEN,,,0 1 -1,,
zekken SEN,1 0 +1,3 0 +3,2 3 -1,1 0 +1,1 0 +1
Zellsis SEN,,0 1 -1,0 2 -2,0 1 -1,0 0
