,Mazino KRÜ,Melser KRÜ,keznit KRÜ,Shyy KRÜ,adverso KRÜ
bang SEN,1 6 -5,1 3 -2,3 5 -2,4 0 +4,5 1 +4
N4RRATE SEN,2 5 -3,2 1 +1,4 3 +1,2 2 +0,3 3 +0
johnqt SEN,4 4 +0,,3 2 +1,1 6 -5,4 2 +2
zekken SEN,3 5 -2,10 1 +9,4 6 -2,3 2 +1,3 1 +2
Zellsis SEN,4 3 +1,1 3 -2,1 7 -6,1 2 -1,0 0
