,vanity C9,Xeppaa C9,OXY C9,runi C9,moose C9
TenZ SEN,,,1 1 +0,,
zekken SEN,3 1 +2,1 0 +1,2 0 +2,1 0 +1,
johnqt SEN,,0 1 -1,2 0 +2,,1 0 +1
Zellsis SEN,,0 1 -1,,,
Sacy SEN,0 1 -1,,1 1 +0,,
