,vanity C9,Xeppaa C9,OXY C9,runi C9,moose C9
TenZ SEN,3 2 +1,1 2 -1,3 3 +0,3 0 +3,3 2 +1
zekken SEN,5 2 +3,4 3 +1,3 1 +2,5 4 +1,2 0 +2
johnqt SEN,3 0 +3,2 2 +0,4 3 +1,1 3 -2,5 3 +2
Zellsis SEN,3 1 +2,3 1 +2,2 2 +0,4 1 +3,1 2 -1
Sacy SEN,0 1 -1,3 2 +1,4 3 +1,1 2 -1,0 1 -1
