,vanity C9,Xeppaa C9,OXY C9,runi C9,moose C9
TenZ SEN,5 4 +1,2 6 -4,7 4 +3,4 6 -2,6 3 +3
zekken SEN,10 5 +5,8 6 +2,7 4 +3,10 5 +5,5 3 +2
johnqt SEN,5 4 +1,4 3 +1,5 5 +0,4 3 +1,8 6 +2
Zellsis SEN,7 5 +2,7 5 +2,6 2 +4,7 2 +5,4 4 +0
Sacy SEN,1 3 -2,5 7 -2,7 3 +4,4 4 +0,1 3 -2
