,vanity C9,Xeppaa C9,OXY C9,runi C9,moose C9
TenZ SEN,,0 1 -1,1 1 +0,,
zekken SEN,4 1 +3,1 0 +1,0 1 -1,1 0 +1,2 2 +0
johnqt SEN,,,,,
Zellsis SEN,0 1 -1,0 1 -1,,,
Sacy SEN,,0 1 -1,1 0 +1,0 1 -1,
