,vanity C9,Xeppaa C9,OXY C9,runi C9,moose C9
TenZ SEN,,0 1 -1,2 2 +0,,
zekken SEN,7 2 +5,2 0 +2,2 1 +1,2 0 +2,2 2 +0
johnqt SEN,,0 1 -1,2 0 +2,,1 0 +1
Zellsis SEN,0 1 -1,0 2 -2,,,
Sacy SEN,0 1 -1,0 1 -1,2 1 +1,0 1 -1,
