,vanity C9,Xeppaa C9,OXY C9,runi C9,moose C9
TenZ SEN,2 2 +0,1 4 -3,4 1 +3,1 6 -5,3 1 +2
zekken SEN,5 3 +2,4 3 +1,4 3 +1,5 1 +4,3 3 +0
johnqt SEN,2 4 -2,2 1 +1,1 2 -1,3 0 +3,3 3 +0
Zellsis SEN,4 4 +0,4 4 +0,4 0 +4,3 1 +2,3 2 +1
Sacy SEN,1 2 -1,2 5 -3,3 0 +3,3 2 +1,1 2 -1
