,skuba NRG,Ethan NRG,s0m NRG,brawk NRG,mada NRG
aspas MIBR,3 0 +3,2 0 +2,4 0 +4,1 0 +1,1 0 +1
Verno MIBR,,,,,
xenom MIBR,,,0 1 -1,,0 1 -1
artzin MIBR,,,,,
cortezia MIBR,,,,,0 2 -2
