,skuba NRG,Ethan NRG,s0m NRG,brawk NRG,mada NRG
aspas MIBR,17 9 +8,17 6 +11,20 10 +10,16 10 +6,10 7 +3
Verno MIBR,9 9 +0,7 8 -1,13 10 +3,9 7 +2,9 9 +0
xenom MIBR,6 3 +3,13 10 +3,8 7 +1,6 9 -3,5 12 -7
artzin MIBR,12 12 +0,8 9 -1,12 12 +0,8 10 -2,9 7 +2
cortezia MIBR,9 7 +2,9 5 +4,2 12 -10,14 8 +6,21 9 +12
