,skuba NRG,Ethan NRG,s0m NRG,brawk NRG,mada NRG
aspas MIBR,2 0 +2,3 0 +3,4 2 +2,3 0 +3,3 5 -2
Verno MIBR,1 0 +1,2 1 +1,4 1 +3,1 0 +1,5 1 +4
xenom MIBR,,1 1 +0,1 0 +1,,1 0 +1
artzin MIBR,0 2 -2,2 3 -1,1 1 +0,1 4 -3,1 3 -2
cortezia MIBR,2 0 +2,2 1 +1,1 1 +0,2 0 +2,6 1 +5
