,skuba NRG,Ethan NRG,s0m NRG,brawk NRG,mada NRG
aspas MIBR,2 0 +2,,2 0 +2,1 0 +1,1 0 +1
Verno MIBR,,,3 1 +2,,2 0 +2
xenom MIBR,,1 0 +1,,,
artzin MIBR,,,,0 1 -1,
cortezia MIBR,,,1 0 +1,1 0 +1,1 0 +1
