,skuba NRG,Ethan NRG,s0m NRG,brawk NRG,mada NRG
aspas MIBR,6 1 +5,6 3 +3,11 4 +7,6 4 +2,3 3 +0
Verno MIBR,3 2 +1,2 2 +0,1 5 -4,3 1 +2,3 5 -2
xenom MIBR,4 0 +4,6 6 +0,4 2 +2,1 2 -1,1 5 -4
artzin MIBR,5 6 -1,1 5 -4,5 2 +3,3 4 -1,2 2 +0
cortezia MIBR,4 3 +1,6 0 +6,1 5 -4,5 4 +1,9 5 +4
