,skuba NRG,Ethan NRG,s0m NRG,brawk NRG,mada NRG
aspas MIBR,,2 0 +2,2 1 +1,1 0 +1,1 2 -1
Verno MIBR,,1 0 +1,,1 0 +1,1 0 +1
xenom MIBR,,0 1 -1,1 0 +1,,1 0 +1
artzin MIBR,0 2 -2,0 3 -3,0 1 -1,0 2 -2,1 0 +1
cortezia MIBR,1 0 +1,2 0 +2,,,1 1 +0
